farmacia,cidade,nome,preco_com_desconto,preco_sem_desconto,desconto,marca,sku,descricao
Época Cosméticos,São Paulo,Sabonete Cicatrizante Óleos da Amazônia - 100g,36.0,,,Ekilibre,Cod: MP185082,"Sabonete Cicatrizante Óleos da AmazôniaO Sabonete Força da Amazônia Ekilibre é um produto de super performance, 100% natural, vegano, orgânico e sustentável. A super performance é decorrente do uso de bioativos em sua composição que são encontrados somente na Amazônia. A versão “força da Amazônia” é ideal pessoas que possuem a pele ligeiramente danificada, pois possui grande poder de limpeza e de auxiliar na cicatrização de pequenos e invisíveis desgastes. Pode ser usado por pessoas de qualquer idade.A fragrância desse sabonete tem personalidade forte, visto que se origina da combinação de seis componentes naturais, sendo três deles óleos vegetais “extra virgens”. Por conta disso, pode ser utilizado ambientes de natureza como mar, rios e cachoeiras, sem que sua espuma agrida a flora e a fauna aquáticas. Pode ser utilizado em pet´s, sem qualquer risco de irritações epidérmicas decorrentes da ação de produtos químicos artificias presentes em shampoos ou condicionares."
Época Cosméticos,São Paulo,Kit Wella Professionals Nutricurls Salon Trio (3 Produtos),589.9,959.9,0.38545681841858526,Wella Professionals,Cod: MP6317,"Kit Wella Professionals Nutricurls Salon Trio (3 Produtos)Kit de tratamento diário para cabelos ondulados e cacheados. Kit Wella Professionals Nutricurls Salon Trio é ideal para cabelos ondulados e cacheados. Define as ondas com perfeição e combatendo o frizz. O Kit Wella Professionals Nutricurls Salon Trio conta com uma nutrição profunda aosfios, além de possui ação antifrizz. Assim, as curvas ficam macias, com movimento e com o formato bem marcado. Higienização suave e sem ressecar os fios, deixando uma sensação de frescor. Contém: Wella Professionals Nutricurls - Shampoo 1 Litro: possui tecnologia micelar que limpa sem retirar a oleosidade natural e ainda mantém o nível certo de hidratação e nutrição. Wella Professionals Nutricurls - Condicionador 1 Litro: nutre, condiciona, facilita o desembaraçar e define. Possui ação antifrizz e proporciona muita maciez. Wella Professionals Nutricurls - Máscara de Nutrição 150ml: condiciona, nutre profundamente e suaviza a fibra para dar toque sedoso, definição e movimento."
Época Cosméticos,São Paulo,Joico K-PAK Color Therapy Trio (3 Produtos),475.9,899.9,0.47116346260695635,Joico,Cod: MP25189,"Joico K-PAK Color Therapy Trio (3 Produtos)Kit de tratamento para cabelos coloridos. Kit Joico K-PAK Color Therapy Trio promove tratamento intensivo para garantir cor vibrante, protegida e duradoura.  O Kit Joico K-PAK Color Therapy Trio conta com fórmula que limpa suavemente, hidrata, nutre, auxilia na proteção da cor e restauração dos fios, além de proporcionar brilho intenso, melhorar a elasticidade e deixar os fios mais fortes. Contém Joico K-PAK Color Therapy - Shampoo 300ml: limpa suavemente, auxilia na proteção da cor e restauração dos fios. Joico K-PAK Color Therapy - Condicionador 250ml: reverte os danos causados pelo tempo, protege a cor e ilumina, hidrata e condiciona intensamente, além de garantir maleabilidade, força e elasticidade. Joico K-PAK Color Therapy Luster Lock - Máscara Capilar 140ml: máscara de tratamento profundo e instantâneo para cabelos coloridos. Nutre, repara, hidrata e protege a cor dos cabelos, além de garantir brilho intenso."
Época Cosméticos,São Paulo,L'ARRËE Color Coloração Permanente 0.1 Corretor Cinza 60g,23.99,,,L’arrëe,Cod: MP114111,"L'ARRËE Color Coloração Permanente 0.1 Corretor Cinza 60gL'ARRËE Color Coloração Permanente 0.1 Corretor Cinza 60gUSO EXCLUSIVO PARA PROFISSIONAIS DA ÁREAFinalidade: Coloração permanente profissional L'ARRËE COLOR é cremosa e hidratante. Sua fórmula foi elaborada com perfeita combinação de micropigmentos, D-Pantenol, Algas Marinhas, Sericina e Macadâmia. Proporciona brilho intenso, cobertura total dos fios brancos, proteção e blindagem da cor, resultado em cores intensas, vibrantes, duradouras e cabelos exuberantes.Composição: Aqua, ceteareth-20, polysorbate 80, ammonium hydroxide, cetearyl alcohol, butylene glycol, cetrimonium chloride, tetrasodium Edta, amodimethicone, parfun: hydroxy-methylpentylclohexenecarboxaldehyde, hexyl cinnam-aldehyde, d-limonen, alpha-isomethyl ionone, oleic acid, oleyl alcohol, glyceryl stearate Se, behentrimonium chloride, sodium erythorbate, ethanolamine, sodium sulfite, algae extract, hydrolyzed keratin, panthenol, aloe barbadenis extract, argania spinosa kernel oil, macadamia ternifolia seed oil, aloe barbadensis extract, sericin.Pode conter: resorcinol, 2-methylresorcinol, 5-amino-6-chloro-o-cesol, p-methylaminophenol sulfate, toluene-2,5 - diamine sulfate, p - phenylenediamine, n, n-bis (2-hydroxyethyl) - P - phenylenediamine sulfate, 2-methyl-5-hydroxyethylaminophenol, 4-amino-2-hydroxytoluene, 2,4-diamionophenoxyethanol hcl, p-aminophenol, m-aminophenol, 4-amino-m-cresol, 1-hydroxyethyl 4,5-diamino pyrazole sulfate, basic yellow 87, 6-amino-m-cresol, 6-amino-o-cresol, basic orange 31, basic red 51.Contém: Fenilenodiaminas, diaminofenoles, Resorcinol, diaminobecenos, metilfenilendiaminas, diaminotoluenos e amoníaco.Teste de contato/aplicação: Ver parte interna da embalagem.Importante: Este produto pode causar reação alérgica que, em alguns casos raros, pode ser grave. Para a segurança de sua cliente são indispensáveis as seguintes precauções:- Usar Luvas adequadas, de preferência descartáveis, na preparação, aplicação e enxágue do produto.- Não aplicar se, a sua cliente já apresentou alguma reação alérgica a um produto de coloração ou se estiver com o couro cabeludo irritado ou lesionado.- Em caso de tatuagem. Os risco de alergia podem aumentar.- Fazer imperativamente um teste de alergia cutânea 24 horas antes de cada aplicação desde produto.Precauções: Este produto deve ser usado somente a finalidade a que se destina, sendo perigoso qualquer outro uso. Pode causar reações alérgicas.CUIDADOS: Contém substâncias passivas de causar irritação na pele de determinadas pessoas. Antes de usar faça o teste de contato ( teste de sensibilidade). Não usar em cílios, sobrancelhas e buço. A aplicação direta nas sobrancelhas ou nos cílios pode ocasionar irritação nos olhos ou cegueira. Não aplicar no couro cabeludo apresentar lesões ou irritações. Caso o produto caia nos olhos, lave-os imediatamente com água em abundância e, se necessário, busque orientação médica. Usar luvas adequadas. Não é recomendado o uso desse produto em mulheres grávidas e crianças. Enxaguar bem o cabelo logo após a aplicação.Número de Processo na ANVISA: 25351.237126/2015-49."
Época Cosméticos,São Paulo,Essence Liquid Ink Waterproof - Delineador Líquido 3ml,26.9,29.9,0.10033444816053512,Essence,Cod: 56546,"Essence Liquid Ink WaterproofDelineador líquido à prova d’água. Essence Liquid Ink Eyeliner Waterproof garante precisão na criação de traços impecáveis, que destacam incrivelmente o olhar.Essence Liquid Ink Eyeliner Waterproof possui ponta fina que oferece mais versatilidade ao fazer seu delineado predileto. Possui fórmula na cor preta ideal para qualquer situação, já que você pode se exercitar ou se emocionar que ela não borra."
Época Cosméticos,São Paulo,KIT Paul Mitchell Clarifying Two (02 Produtos),270.9,,,Paul Mitchell,Cod: MP92192,"KIT Paul Mitchell Clarifying Two (02 Produtos)KIT Paul Mitchell Clarifying Two (02 Produtos)Shampoo de limpeza profunda para cabelos com raiz oleosa. Dá brilho e não resseca os fios. O Shampoo Paul Mitchell Two retira os resíduos dos fios, de maneira suave, ideal para o uso diário.Ele é indicado para cabelos com raiz oleosa, com ou sem química. O Shampoo Two pode ser combinado com Condicionador Original The Detangler para um cuidado completo e profundo dos fios. Como Usar:Molhe bem o cabelo. Aplique uma pequena quantidade do produto e massageie o cabelo e o couro cabeludo. Enxágue bem. Repita a operação se desejar."
Época Cosméticos,São Paulo,Kit Braé Go Curly + Divine Plume Sensation Salon (2 Produtos),230.9,379.9,0.39220847591471436,Braé,Cod: MP53155,"Kit Braé Go Curly + Divine Plume Sensation Salon (2 Produtos)Kit com sérum e máscara para cabelos cacheados ou ondulados.  Braé Go Curly + Plume Sensation Salon proporciona cachos definidos e controle do frizz.Kit Braé Go Curly + Plume Sensation Salon possui uma associação equilibrada de ingredientes que permite a ação profunda e multifuncional nos cabelos cacheados e ondulados. Não possui silicones, petrolatos, parabenos e pode ser classificado como método Low Poo.Contém:Braé Go Curly - Máscara Capilar 500g: conta com uma potente e inovadora combinação de ativos, trazendo hidratação imediata e de alto desempenho aos fios.Braé Divine Plume Sensation - Sérum Reparador Capilar 60ml: para todos os tipos de cabelo, nutre e combate danos como o frizz e as pontas duplas. "
Época Cosméticos,São Paulo,Keune Tinta Color Ultimate Blonde Especial Louro Pérola Dourado 1032- Coloração 60ml,72.9,139.9,0.4789135096497498,Keune,Cod: MP195892,"Keune Tinta Color Ultimate Blonde  Especial Louro Pérola Dourado 1032- Coloração 60mlKeune Tinta Color Ultimate Blonde  Especial Louro Pérola Dourado 1032- Coloração 60ml   Conta com uma fórmula enriquecida com cocamida mea, que é um derivado do Óleo de Coco, que é responsável por condicionar os cabelos, impedindo que a coloração manche a pele e o couro cabeludo. Além disso, cobre até 100% dos fios brancos, possui baixo teor de amônia e é totalmente livre de PPD, que é o grande causador de alergias, apresentando baixa incidência de reações alérgicas, e uma textura perolizada inconfundível.   Conselho de Aplicação Aplique a mistura sobre nos cabelos secos, iniciando pela raiz e indo até as pontas. Deixe agir por 40 minutos e, se seus cabelos são muito brancos ou difíceis de absorver, deixe agir por mais 5 minutos. Enxágue nos cabelos com bastante água até que a Tintura Individual seja totalmente eliminada."
Época Cosméticos,São Paulo,Kanitz Rosa Branca - Sabonete Líquido 400ml,24.99,,,Kanitz,Cod: MP53090,"Kanitz Rosa BrancaSabonete líquido. Kanitz Rosa Branca promove agradável sensação de limpeza, maciez na pele e o suave perfume das rosas.O Sabonete Líquido Kanitz Rosa Branca deixa a pele macia e hidratada com um delicado perfume de rosas. Com Glicerina Vegetal, retém a umidade natural da pele, auxiliando em sua proteção e hidratação. Seu pH fisiológico mantém o equilíbrio natural da pele. "
Época Cosméticos,São Paulo,BeautyColor Argan & Coco 5.3 Castanho Claro Dourado - Coloração Permanente 45g,17.37,,,BeautyColor,Cod: MP40758,"BeautyColor Argan & Coco 5.3 Castanho Claro DouradoColoração permanente para todos os tipos de cabelo. BeautyColor Argan & Coco nutre e hidrata, além de colorir os fios.A Coloração Permanente BeautyColor Argan & Coco possui uma fórmula com intensas propriedades nutritivas, rica em aminoácidos essenciais e proteínas vegetais, associados a um blend de óleos essenciais. Além de cobrir totalmente as madeixas, restaura a fibra capilar e restabelece o equilíbrio hídrico nos cabelos, promovendo cores vibrantes, com brilho extremo e muita maciez."
Época Cosméticos,São Paulo,Santa Clara Separador de Mechas - Pente de Cabelo,1.86,2.13,0.1267605633802816,Santa Clara,Cod: MP84210,"Santa Clara Separador de MechasPente de cabelo desenvolvido para separar mechas. Santa Clara Separador de Mechas foi especialmente desenvolvido para garantir praticidade.O Pente de Cabelo Santa Clara Separador de Mechas é ideal para ser usado por profissionais para auxiliar no corte de cabelo, ou qualquer outro procedimento que requer uma separação de mechas. Proporciona muito mais facilidade para seu dia a dia."
Época Cosméticos,São Paulo,Lixa Polidora Para Unhas Santa Clara Em E.V.A Grande Vermelha,2.19,,,Santa Clara,Cod: MP114417,Lixa Polidora Para Unhas Santa Clara Em E.V.A Grande VermelhaA Lixa Polidora Santa Clara Vermelha deixa as unhas uniformes com um acabamento perfeito. É fácil e prática para usar.Seu tamanho pequeno permite que ela seja levada na bolsa ou na carteira para que esteja sempre a mão quando necessário.Modo de uso:Polir toda superfície da unha em movimento de vai-vem para obter um acabamento liso nas unhas.
Época Cosméticos,São Paulo,"Frederika Make Radiant Mood - Lápis de Olho 1,4g",25.4,,,Frederika Make,Cod: MP29132,"Frederika Make Radiant MoodLápis de olho. Frederika Make com cor intensa, realça o seu olhar e permite makes incríveis!O Lápis de Olho Frederika Make  possui uma textura cremosa, a prova d'água e apontado. Vai garantir delineados gráficos, multicoloridos e com muito estilo!"
Época Cosméticos,São Paulo,MyPhios Professional My Tox - Botox Capilar 1kg,109.0,,,Myphios Professional,Cod: MP64453,"MyPhios Professional My ToxBotox capilar para todos os tipos de cabelos, sobretudo os volumosos. MyPhios Professional My Tox possui tolerância zero contra o frizz.O Botox Capilar MyPhios Professional My Tox conta com fórmula exclusiva sem formol com ativos hidratantes de alta performance, que selam as fibras capilares de maneira segura, confortável e saudável. Os cabelos ficam rejuvenescidos, iluminados, macios e totalmente alinhados."
Época Cosméticos,São Paulo,Tintura Haskell 12.0 Super Ultra Claro Especial,25.49,,,Haskell,Cod: MP150379,"Tintura Haskell 12.0 Super Ultra Claro EspecialA Tintura Haskell colore os cabelos, proporcionando brilho e cor intensa. Possui Manteiga de Oliva em sua composição, que penetra no interior da fibra capilar e proporciona hidratação e toque aveludado ao cabelos. Promove excelente cobertura dos fios brancos. Sua formulação permite que a cor se mantenha por mais tempo, prolongando a vivacidade do tom, deixando seus cabelos ainda mais bonitos e cheios de vida!Excelente cobertura dos cabelos brancos, em até 50%.Ideal para escurecer os fios ou manter a cor com mais brilho e por mais tempo. O Tonalizante Sem Amônia Excllusiv Tom pode ser aplicado em cabelos naturais, coloridos, descoloridos, alisados, relaxados ou com escovas progressivas. Não faça alisamento, permanente, descoloração, coloração ou escova progressiva imediatamente antes ou após o uso de tonalizantes. Fórmula SEM AMÔNIA, não agride os fios! Modo de uso:Leia atentamente a parte interna do cartucho da embalagem porque contém: - Instruções de preparo e aplicação - Observações - Dicas importantes - Instruções de prova de toque/sensibilidade Precauções Pode causar reação alérgica. Manter fora do alcance das crianças. Não usar nos cílios e sobrancelhas. Em caso de contato com os olhos, lavar com água em abundância. Não aplicar se o couro cabeludo estiver irritado ou lesionado. Este produto de ser usado para o fim a que se destina, sendo perigoso qualquer outro emprego. Não se recomenda o uso deste produto em gestantes. O produto é impróprio para uso em crianças. usar luvas adequadas, de preferência descartáveis. Não utilizar imediatamente após um serviço químico de permanente, defrisagem ou alisamento. Não aplicar em cabelos em que tenham sido utilizados qualquer tipo de hêne, tinturas progressivas ou a base de sais metálicos"
Época Cosméticos,São Paulo,Kit Blink Lab Skin Glow Rose Quartz (2 Produtos),248.0,,,Blink Lab,Cod: 73467,"Kit Blink Lab Skin Glow Rose Quartz (2 Produtos)Kit de massageadores faciais. Kit Blink Lab Skin Glow Rose Quartz proporciona uma drenagem facial que diminui inchaços e melhora a circulação sanguínea, além de modelar o rosto e diminuir linhas finas.Kit Blink Lab Skin Glow Rose Quartz conta com dois massageadores faciais tradicionais do skincare asiático feitos de quartzo rosa. Ajudam a criar um efeito lifting na face, assim como melhorar a absorção de produtos para a pele. Um verdadeiro spa facial em casa.ContémRoller de Quartzo Rosa: com dois lados, realiza uma massagem linfática no rosto e na região dos olhos. Reduz o inchaço, melhora a circulação e melhora a absorção de produtos de skincare. Pedra Gua Sha: ter formato que se encaixa nas bochechas e maçãs do rosto para realizar uma raspagem suave que libera a tensão muscular, melhora a circulação sanguínea, suaviza linhas finas e define o formato do rosto."
Época Cosméticos,São Paulo,Kit Chá Mais Hibisco Sachês (10 Unidades),6.9,8.48,0.18632075471698112,Chá Mais,Cod: MP104721,"Kit Chá Mais Hibisco Sachês (10 Unidades)Kit com dez envelopes de chá. Chá Mais Hibisco Sachês conta com propriedades antioxidantes, que cuida da sua saúde e beleza.O Kit Chá Mais Hibisco Sachês é extraído da flor de Hibiscus sabdariffa, uma planta com propriedades medicinais. Rica em polifenóis e antocianina, que são poderosos antioxidantes, a planta é reconhecida por combater a quantidade de radicais livres produzidos no organismo. Deste modo, é ideal para proporcionar mais jovialidade, com a pele revitalizada. Além disso, o chá pode auxiliar na melhoria dos níveis de pressão arterial, estimular a lipólise, facilitar a digestão, regularizar o funcionamento intestinal e combater a retenção de líquidos, promovendo medidas saudáveis.Contém:Chá Mais Hibisco - Chá (10 Unidades)"
Época Cosméticos,São Paulo,ProArt Line Marrom Grande - Piranha de Cabelo,20.4,,,ProArt,Cod: MP137477,"ProArt Line Marrom GrandePiranha de cabelo. ProArt Line é uma ótima opção para prender os fios com segurança e cuidado.A Piranha de Cabelo ProArt Line permite que você prenda o cabelo com praticidade e conforto, sem causar danos. Possui um design moderno, que deixa as madeixas firmes e o penteado estruturado."
Época Cosméticos,São Paulo,Eudora Niina Secrets Daily Tint Cream Cor 05 - Base Líquida 25ml,64.99,,,Eudora,Cod: E48107,"Eudora Niina Secrets Daily Tint Cream Cor 05Base líquida com acabamento semi matte.  Eudora Niina Secrets Daily Tint Cream traz multibenefícios em um só produto: matifica, trata e protege a pele.A Base Líquida Eudora Niina Secrets Daily Tint Cream reúne 11 benefícios em 1 só produto para garantir uma pele radiante, unindo maquiagem e cuidados com a pele. Matifica1.      Acabamento matte, com efeito segunda pele;2.      Fórmula leve e respirável;3.      Cobertura média que permite construir camadas para deixar o acabamento desejado;4.       Longa duração;5.       Uniformiza o tom de pele, camuflando olheiras e vermelhidões sem marcar as linhas de expressão;Protege6.      FPS 30 UVA++;7.      Proteção contra a luz azul;Trata8.      Hidrata por até 24 horas9.      Controla a oleosidade;10.   Exclusiva tecnologia Secrets 2.0: Ácido hialurônico, Óleo de rosas e Vitaminas (B5, E e F), que nutrem a pele, possuem ação antioxidante e auxiliam na formação de colágeno; Niacinamida, que ajuda na prevenção da acne e melhora a aparência da pele acneica.11.  Não-comedogênica e não-acnegênica.Nenhum produto Eudora é testado em animais, ou seja, este item possui selo Cruelty Free.﻿"
Época Cosméticos,São Paulo,"Shiseido ImperialLash MascaraInk - Máscara para Cílios 8,5g",208.9,,,Shiseido,Cod: 61782,"Shiseido ImperialLash MascaraInkMáscara para cílios. Shiseido ImperialLash MascaraInk confere volume e definição, além de aumentar o comprimento dos cílios, de modo durável e à prova de borrões.Shiseido ImperialLash MascaraInk possui cerdas flexíveis de silicone até na ponta do aplicador para abranger os fios dos cantos internos e inferiores. Seu pigmento envolve cada cílio para que o efeito dure o dia todo."
Época Cosméticos,São Paulo,Schwarzkopf Professional Oil Ultime Rose - Óleo Finalizador Capilar 100ml,197.9,262.9,0.2472422974515024,Schwarzkopf Professional,Cod: 20056719,"Schwarzkopf Professional Oil Ultime RoseÓleo finalizador capilar para fios finos a equilibrados. Schwarzkopf Professional Oil Ultime Rose, envolve gentilmente o fio para nutrir e suavizar.O Óleo Finalizador Capilar Schwarzkopf Professional Oil Ultime Rose traz uma mistura de Óleo do Fruto de Rosa Canina e Óleo de Rosa Damascena para hidratar profundamente os cabelos."
Época Cosméticos,São Paulo,Hot MakeUp Absolute Touch AT10 - Base Líquida 29ml,159.9,,,Hot MakeUp,Cod: 60151,"Hot MakeUp Absolute Touch AT10Base líquida de acabamento matte e natural. Hot MakeUp Absolute Touch uniformiza e disfarça imperfeições sem pesar. De longa duração, é ideal para uma pele impecável no dia a dia.A Base Hot MakeUp Absolut Touch possui fórmula de alta performance que proporciona de média à alta cobertura, sem obstruir poros, e permite que a pele respire. Fácil de aplicar, adere bem ao rosto para um resultado confortável e homogêneo. Fórmula livre de óleo."
Época Cosméticos,São Paulo,Kit Lowell Extrato de Mirtilo Triplo (3 Produtos),165.9,269.9,0.385327899221934,Lowell,Cod: MP19536,"Kit Lowell Extrato de Mirtilo Triplo (3 Produtos)Kit com shampoo, condicionador e máscara para cabelos equilibrados. Lowell Extrato de Mirtilo Triplo nutre, disciplina e devolve a vitalidade dos fios durante a lavagem. O Kit Lowell Extrato de Mirtilo Triplo forma um filme protetor ao redor das fibras capilares que mantém a umidade natural enquanto auxilia no desembaraçar e remove o excesso de oleosidade, sem provocar o ressecamento do cabelo.Contém:﻿Lowell Extrato de Mirtilo - Shampoo 240ml: proporciona brilho e faz uma limpeza efetiva. Lowell Extrato de Mirtilo - Condicionador 200ml: oferece hidratação e maciez aos fios.Lowell Extrato de Mirtilo Alto Impacto - Máscara Capilar 240g: trata e resgata a aparência saudável do cabelo. "
Época Cosméticos,São Paulo,Kit Eudora Siàge Glow Expert Quarteto (4 Produtos),215.96,,,Eudora,Cod: E2023020314,"Kit Eudora Siàge Glow Expert Quarteto (4 Produtos)Kit com shampoo, condicionador, máscara e finalizador para cabelos opacos e com frizz.  Eudora Siàge Glow Expert Quarteto promove brilho e hidratação profunda.O Kit Eudora Siàge Glow Expert Quarteto deixa os fios intensamente hidratados, com brilho espelhado e alta capacidade de refletir a luz. Nenhum produto Eudora é testado em animais, ou seja, este item possui selo Cruelty Free."
Época Cosméticos,São Paulo,Vichy Capital Soleil FPS60 Cor 3.0 - Protetor Solar com Cor 40g,89.9,99.9,0.10010010010010009,Vichy,Cod: 20058807,"Vichy Capital Soleil FPS60 Cor 3.0Protetor solar com cor. Vichy Capital Soleil FPS60 confere alta cobertura para a pele, além de proteger contra os danos dos raios UVA E UVB.O Protetor Solar Vichy Capital Soleil FPS60 conta com ativos especiais na fórmula, que ajudam amenizar as marcas solares, previnem a hiperpigmentação e uniformizam o tom da tez com um super acabamento."
Época Cosméticos,São Paulo,Amend Luxe Creations Regenerative Care - Shampoo 300ml,53.8,120.89,0.5549673256679626,Amend Cosméticos,Cod: 58017,"Amend Luxe Creations Regenerative CareShampoo para cabelos coloridos ou descoloridos. Amend Luxe Creations Regenerative Care ajuda a fortalecer o fio, combater o ressecamento e conferir densidade à fibra capilar. Ele trata durante o cuidado diários os desgastes que aparecem ao longo do tempo no cabelo.O Shampoo Amend Luxe Creations Regenerative Care Shampoo traz ativos que repõem a massa capilar e prolongam a hidratação. Assim, traz resistência, brilho, corpo e maciez aos fios. Sua fórmula ainda diminui a sensibilidade do couro cabeludo. Tudo isso enquanto faz uma limpeza ideal, que não compromete a saúde do cabelo."
Época Cosméticos,São Paulo,Kit Braé Bond Angel Matizador Thermal Blond Salon (3 Produtos),339.0,499.0,0.32064128256513025,Braé,Cod: MP32332,"Kit Braé Bond Angel Matizador Thermal Blond Salon (3 Produtos)Kit de tratamento para cabelos loiros, descoloridos ou grisalhos. Braé Bond Angel Matizador Thermal Blond Salon remove o amarelado e protege os fios.O Kit Braé Bond Angel Matizador Thermal Blond Salon apresenta uma poderosa linha com fórmulas exclusivas que tratam os fios descoloridos enquanto neutralizam tons amarelados dos cabelos. É proteção contra o calor e cuidado intenso diariamente para um loiro lindo e saudável.Contém:Braé Bond Angel - Shampoo Matizador 1L: foi desenvolvido para os cabelos loiros, descoloridos e também grisalhos. Ele limpa suavemente os cabelos sem agredir a fibra capilar, atuando na neutralização de tons amarelados promovendo a revitalização da cor. Com ação remineralizante e nutritiva ele proporciona aspecto saudável e um brilho platinado.Braé Bond Angel pH - Acidificante Matizador 1L: transforma os tons amarelados dos fios em nuances platinadas. Tem ação emoliente e nutritiva que alinha e facilita o desembaraço dos cabelos. Os cabelos ficam sedosos, macios e com muito brilho.Braé Bond Angel Thermal Blond - Leave-in 200ml: mais que um finalizador, ele é um tratamento para os fios loiros, descoloridos e grisalhos. Sua fórmula exclusiva regenera gradativamente as fibras descoloridas e tem ação anti amarelamento. Ele também protege os fios contra contra o calor do secador, da prancha e controla o frizz. Os cabelos ficam com aspecto saudável e brilho platinado."
Época Cosméticos,São Paulo,Kit Sebastian Professional Penetraitt + Dark Oil Basic Up Trio (3 Produtos),335.9,599.9,0.440073345557593,Sebastian Professional,Cod: MP29520,"Kit Sebastian Professional Penetraitt + Dark Oil Basic Up Trio (3 Produtos)Kit com shampoo, máscara e óleo capilar para cabelos danificados. Kit Sebastian Professional Penetraitt + Dark Oil Basic Up Trio oferece reconstrução total dos fios.O Kit Sebastian Professional Penetraitt + Dark Oil Basic Up Trio protege as cutículas capilares de agentes externos, prevenindo o frizz e conferindo resultado duradouro. Além disso, também  fortalece e revigora as fibras capilares, devolvendo a vitalidade.Contém: Sebastian Professional Penetraitt - Shampoo 250ml: higieniza com suavidade, reconstruindo as fibras capilares. Sebastian Professional Penetraitt - Máscara Capilar Reconstrutora 150ml: repara os fios, fortalecendo-os contra ações externas. Conta com uma potente combinação de ativos que penetra profundamente na fibra capilar, resgatando a força e o brilho perdidos. Protege contra danos futuros causados por químicas e acessórios térmicos. Além disso, confere hidratação intensa, que revitaliza e recupera os cabelos.Sebastian Professional Dark Oil - Óleo Capilar 30ml: promove penteados incríveis, combinando finalização e tratamento. Sua fórmula intensa, ao mesmo tempo que leve, protege dos raios UV, controla o frizz, confere brilho e aumenta a suavidade por até 48 horas. Além disso, proporciona textura e facilita a criação de penteados."
Época Cosméticos,São Paulo,Kit Crescimento e Anti Queda - Difusão Capilar Troia Hair,59.0,,,TRÓIA HAIR COSMÉTICOS ,Cod: MP195812,"Kit Crescimento e Anti Queda Descubra o segredo para cabelos deslumbrantes e saudáveis com o Kit Difusão da Troia Hair. Este kit exclusivo oferece uma solução completa para nutrir, reparar e fortalecer os seus cabelos, proporcionando uma experiência de cuidado capilar incomparável.O Kit Difusão da Troia Hair inclui três produtos essenciais: o Shampoo Difusão, o Condicionador Difusão e a Máscara Capilar Difusão. Cada um desses produtos é formulado com uma combinação única de ingredientes de alta qualidade, incluindo Bioex Capilar, Capsicum, Jaborandi e Biotina, que trabalham em conjunto para proporcionar resultados extraordinários.O Shampoo Difusão oferece uma limpeza profunda e revitalizante, removendo impurezas e resíduos acumulados, enquanto o Condicionador Difusão proporciona uma hidratação intensiva, fortalecendo os fios e reduzindo a quebra e as pontas duplas. Completando o tratamento, a Máscara Capilar Difusão oferece uma nutrição profunda, reparando os danos causados por tratamentos químicos e agressões externas, e protegendo os cabelos contra danos futuros.Ao usar o Kit Difusão da Troia Hair, você pode ter certeza de que está proporcionando aos seus cabelos o cuidado completo que eles merecem. Transforme a sua rotina de cuidados com os cabelos e descubra o poder da nutrição, reparação e proteção intensivas para cabelos verdadeiramente deslumbrantes e saudáveis.Desfrute de cabelos visivelmente mais macios, fortes e radiantes em cada lavagem com o Kit Difusão da Troia Hair."
Época Cosméticos,São Paulo,Sobrebarba Light My Fire - Balm Para Barba 140ml,47.96,51.6,0.07054263565891473,Sobrebarba,Cod: MP51001,"Sobrebarba Light My FireBalm para barba. Sobrebarba Light My Fire possui efeito hidratante que amacia os fios e elimina a sensação da barba espetando. O Balm para Barba Sobrebarba Light My Fire é ótimo para você que deixa a barba sempre curta e aparada, ou até mesmo nas primeiras fazes de crescimento. Sua formulação retira o frizz e os pelos indisciplinados, alinha a barba, modela os fios, hidrata e cuida da pele do rosto, que fica embaixo da barba evitando irritações, perfeito para quem adora a barba mais curta e bem aparada. Também é um ótimo aliado para acabar com aquela caspa na barba, que é semelhante a uma esfoliação da pele e vem acompanhado de vermelhidão, podendo em casos graves chegar a uma foliculite. Além disso, pode ser usado como pós barba, pois seus efeitos hidrantes auxiliam na cura de feridas e acalma a pele depois do barbear. Sua fragrância é amadeirada feita a base de cedro, vetiver e patchouly, ou seja, é feita basicamente de tudo que você gosta lenhador: Lenha! Além disso, todos os produtos da marca tem origem 100% vegetal e não fazem testes em animais."
